id,municipio,provincia,gau,nombre_pro,nombre_mun
05242_AM,05242_AM,5,05242_AM,Ávila,Tiñosillos agregacion de municipios
"06002","06002",6,"06002",Badajoz,Aceuchal
06005_AM,06005_AM,6,06005_AM,Badajoz,"Albuera, La agregacion de municipios"
"06006","06006",6,"06006",Badajoz,Alburquerque
"0601101","06011",6,"06011",Badajoz,Almendralejo distrito 01
"0601102","06011",6,"06011",Badajoz,Almendralejo distrito 02
"0601103","06011",6,"06011",Badajoz,Almendralejo distrito 03
"0601104","06011",6,"06011",Badajoz,Almendralejo distrito 04
06012_AM,06012_AM,6,06012_AM,Badajoz,Arroyo de San Serván agregacion de municipios
"06014","06014",6,"06014",Badajoz,Azuaga
"0601501","06015",6,GAU Badajoz,Badajoz,Badajoz distrito 01
"0601502","06015",6,GAU Badajoz,Badajoz,Badajoz distrito 02
"0601503","06015",6,GAU Badajoz,Badajoz,Badajoz distrito 03
"0601504","06015",6,GAU Badajoz,Badajoz,Badajoz distrito 04
"0601505","06015",6,GAU Badajoz,Badajoz,Badajoz distrito 05
"0601506","06015",6,GAU Badajoz,Badajoz,Badajoz distrito 06
"0601507","06015",6,GAU Badajoz,Badajoz,Badajoz distrito 07
"0601508","06015",6,GAU Badajoz,Badajoz,Badajoz distrito 08
"0601509","06015",6,GAU Badajoz,Badajoz,Badajoz distrito 09
"0601510","06015",6,GAU Badajoz,Badajoz,Badajoz distrito 10
06016_AM,06016_AM,6,06016_AM,Badajoz,Barcarrota agregacion de municipios
06019_AM,06019_AM,6,06019_AM,Badajoz,Berlanga agregacion de municipios
06020_AM,06020_AM,6,06020_AM,Badajoz,Bienvenida agregacion de municipios
"06022","06022",6,"06022",Badajoz,Burguillos del Cerro
"06023","06023",6,"06023",Badajoz,Cabeza del Buey
"06025","06025",6,GAU Mérida,Badajoz,Calamonte
"06028","06028",6,"06028",Badajoz,Campanario
06033_AM,06033_AM,6,06033_AM,Badajoz,Casas de Don Pedro agregacion de municipios
06036_AM,06036_AM,6,06036_AM,Badajoz,Castuera agregacion de municipios
06039_AM,06039_AM,6,06039_AM,Badajoz,"Coronada, La agregacion de municipios"
06044_AM,06044_AM,6,06044_AM,Badajoz,Don Benito agregacion de municipios
"06050","06050",6,"06050",Badajoz,Fregenal de la Sierra
06051_AM,06051_AM,6,06051_AM,Badajoz,Fuenlabrada de los Montes agregacion de municipios
06052_AM,06052_AM,6,06052_AM,Badajoz,Fuente de Cantos agregacion de municipios
"0605401","06054",6,"06054",Badajoz,Fuente del Maestre distrito 01
"0605402","06054",6,"06054",Badajoz,Fuente del Maestre distrito 02
06055_AM,06055_AM,6,06055_AM,Badajoz,Fuentes de León agregacion de municipios
06058_AM,06058_AM,6,06058_AM,Badajoz,"Garrovilla, La agregacion de municipios"
06059_AM,06059_AM,6,06059_AM,Badajoz,Granja de Torrehermosa agregacion de municipios
06060_AM,06060_AM,6,06060_AM,Badajoz,Guareña agregacion de municipios
"06063","06063",6,"06063",Badajoz,Herrera del Duque
06066_AM,06066_AM,6,06066_AM,Badajoz,Higuera de Vargas agregacion de municipios
06067_AM,06067_AM,6,06067_AM,Badajoz,Higuera la Real agregacion de municipios
06069_AM,06069_AM,6,06069_AM,Badajoz,Hornachos agregacion de municipios
06070_AM,06070_AM,6,06070_AM,Badajoz,Jerez de los Caballeros agregacion de municipios
"06072","06072",6,"06072",Badajoz,Lobón
06074_AM,06074_AM,6,06074_AM,Badajoz,Llerena agregacion de municipios
06080_AM,06080_AM,6,06080_AM,Badajoz,Medellín agregacion de municipios
"0608301","06083",6,GAU Mérida,Badajoz,Mérida distrito 01
0608302_AD,"06083",6,GAU Mérida,Badajoz,Mérida distrito 02 agregacion de distritos
"0608303","06083",6,GAU Mérida,Badajoz,Mérida distrito 03
"0608304","06083",6,GAU Mérida,Badajoz,Mérida distrito 04
"0608306","06083",6,GAU Mérida,Badajoz,Mérida distrito 06
06085_AM,06085_AM,6,06085_AM,Badajoz,Monesterio agregacion de municipios
06087_AM,06087_AM,6,06087_AM,Badajoz,Monterrubio de la Serena agregacion de municipios
"06088","06088",6,"06088",Badajoz,Montijo
"06091","06091",6,"06091",Badajoz,Navalvillar de Pela
06093_AM,06093_AM,6,06093_AM,Badajoz,Oliva de la Frontera agregacion de municipios
06094_AM,06094_AM,6,06094_AM,Badajoz,Oliva de Mérida agregacion de municipios
"06095","06095",6,"06095",Badajoz,Olivenza
06097_AM,06097_AM,6,06097_AM,Badajoz,Orellana la Vieja agregacion de municipios
"0610301","06103",6,"06103",Badajoz,Puebla de la Calzada distrito 01
"0610302","06103",6,"06103",Badajoz,Puebla de la Calzada distrito 02
"06108","06108",6,"06108",Badajoz,Puebla de Sancho Pérez
"06109","06109",6,"06109",Badajoz,Quintana de la Serena
06113_AM,06113_AM,6,06113_AM,Badajoz,Ribera del Fresno agregacion de municipios
06117_AM,06117_AM,6,06117_AM,Badajoz,Salvatierra de los Barros agregacion de municipios
"06120","06120",6,"06120",Badajoz,Santa Amalia
"06121","06121",6,"06121",Badajoz,Santa Marta
"0612201","06122",6,"06122",Badajoz,"Santos de Maimona, Los distrito 01"
"0612202","06122",6,"06122",Badajoz,"Santos de Maimona, Los distrito 02"
"0612203","06122",6,"06122",Badajoz,"Santos de Maimona, Los distrito 03"
06123_AM,06123_AM,6,06123_AM,Badajoz,San Vicente de Alcántara agregacion de municipios
06125_AM,06125_AM,6,06125_AM,Badajoz,Siruela agregacion de municipios
06126_AM,06126_AM,6,06126_AM,Badajoz,Solana de los Barros agregacion de municipios
"06127","06127",6,"06127",Badajoz,Talarrubias
"06128","06128",6,GAU Badajoz,Badajoz,Talavera la Real
06135_AM,06135_AM,6,06135_AM,Badajoz,Trujillanos agregacion de municipios
06141_AM,06141_AM,6,06141_AM,Badajoz,Valencia del Ventoso agregacion de municipios
"06143","06143",6,"06143",Badajoz,Valverde de Leganés
"06149","06149",6,"06149",Badajoz,Villafranca de los Barros
"0615301","06153",6,"06153",Badajoz,Villanueva de la Serena distrito 01
"0615302","06153",6,"06153",Badajoz,Villanueva de la Serena distrito 02
"0615303","06153",6,"06153",Badajoz,Villanueva de la Serena distrito 03
"0615304","06153",6,"06153",Badajoz,Villanueva de la Serena distrito 04
"06154","06154",6,"06154",Badajoz,Villanueva del Fresno
06155_AM,06155_AM,6,06155_AM,Badajoz,Villar del Rey agregacion de municipios
"0615801","06158",6,"06158",Badajoz,Zafra distrito 01
"0615802","06158",6,"06158",Badajoz,Zafra distrito 02
"06159","06159",6,"06159",Badajoz,Zahínos
06160_AM,06160_AM,6,06160_AM,Badajoz,Zalamea de la Serena agregacion de municipios
"06162","06162",6,"06162",Badajoz,"Zarza, La"
"06901","06901",6,"06901",Badajoz,Valdelacalzada
06903_AM,06903_AM,6,06903_AM,Badajoz,Guadiana agregacion de municipios
"07001","07001",7,"07001",Baleares,Alaró
"0700201","07002",7,"07002",Baleares,Alaior distrito 01
"0700202","07002",7,"07002",Baleares,Alaior distrito 02
"07003","07003",7,"07003",Baleares,Alcúdia
"0700401","07004",7,"07004",Baleares,Algaida distrito 01
