id,id_municipio,id_provincia,gau,provincia,distrito,municipio,poblacion
03123_AM,03123_AM,"3",03123_AM,Alicante,Sax agregacion de municipios,Sax agregacion de municipios,"11577.0"
"03128","03128","3",GAU Denia - Jávea,Alicante,Teulada,Teulada,"11466.0"
"0313301","03133","3",GAU Torrevieja,Alicante,Torrevieja distrito 01,Torrevieja,"22948.0"
"0313302","03133","3",GAU Torrevieja,Alicante,Torrevieja distrito 02,Torrevieja,"23695.0"
"0313303","03133","3",GAU Torrevieja,Alicante,Torrevieja distrito 03,Torrevieja,"36199.0"
"03138","03138","3","03138",Alicante,"Verger, el","Verger, el","4841.0"
"0313901","03139","3",GAU La Costa Blanca,Alicante,"Villajoyosa/Vila Joiosa, la distrito 01","Villajoyosa/Vila Joiosa, la","16687.0"
"0313902","03139","3",GAU La Costa Blanca,Alicante,"Villajoyosa/Vila Joiosa, la distrito 02","Villajoyosa/Vila Joiosa, la","3397.0"
"0313903","03139","3",GAU La Costa Blanca,Alicante,"Villajoyosa/Vila Joiosa, la distrito 03","Villajoyosa/Vila Joiosa, la","14600.0"
"03140","03140","3","03140",Alicante,Villena,Villena,"34025.0"
"03901","03901","3",GAU Denia - Jávea,Alicante,"Poblets, els","Poblets, els","2721.0"
"03902","03902","3","03902",Alicante,Pilar de la Horadada,Pilar de la Horadada,"22597.0"
"03903","03903","3","03903",Alicante,"Montesinos, Los","Montesinos, Los","2184.0"
"04003","04003","4","04003",Almería,Adra,Adra,"25501.0"
"04006","04006","4","04006",Almería,Albox,Albox,"12070.0"
04011_AM,04011_AM,"4",04011_AM,Almería,Alhama de Almería agregacion de municipios,Alhama de Almería agregacion de municipios,"5309.0"
"0401301","04013","4",GAU Almería,Almería,Almería distrito 01,Almería,"3267.0"
"0401302","04013","4",GAU Almería,Almería,Almería distrito 02,Almería,"6388.0"
"0401303","04013","4",GAU Almería,Almería,Almería distrito 03,Almería,"11353.0"
"0401304","04013","4",GAU Almería,Almería,Almería distrito 04,Almería,"6967.0"
"0401305","04013","4",GAU Almería,Almería,Almería distrito 05,Almería,"14337.0"
"0401306","04013","4",GAU Almería,Almería,Almería distrito 06,Almería,"65838.0"
